,Direct Irradiance,Horizontal Irradiance,Tilt Irradiance,fips
186,3.84,3.99,4.55,18057
187,3.85,4.0,4.57,18059
188,3.77,3.95,4.52,18067
189,3.99,4.07,4.66,18081
190,3.59,3.86,4.39,18085
191,3.62,3.85,4.38,18091
192,3.7,3.89,4.47,18089
193,3.78,3.96,4.52,18095
194,3.88,4.01,4.6,18097
195,4.01,4.08,4.68,18105
196,3.92,4.04,4.62,18109
197,3.69,3.88,4.45,18127
198,3.6,3.84,4.39,18141
199,3.78,3.96,4.54,18157
200,4.11,4.18,4.76,18163
201,3.99,4.07,4.66,18167
202,3.77,3.97,4.51,18177
203,4.04,3.9,4.55,19013
204,3.96,3.87,4.51,19061
205,4.02,3.94,4.59,19103
206,3.98,3.91,4.55,19113
207,4.11,3.97,4.63,19153
208,4.61,4.27,4.99,20045
209,4.6,4.28,4.98,20091
210,4.93,4.41,5.21,20161
211,5.1,4.57,5.34,20173
212,4.13,4.24,4.81,21047
213,4.06,4.17,4.73,21093
214,4.01,4.12,4.7,21111
215,4.0,4.08,4.66,21117
216,4.06,4.2,4.77,21227
217,4.38,4.66,5.14,22005
218,4.25,4.55,5.0,22019
219,4.35,4.63,5.11,22033
220,4.65,4.82,5.32,22045
221,4.7,4.85,5.37,22051
222,4.37,4.64,5.11,22055
223,4.35,4.63,5.11,22063
224,4.27,4.65,5.13,22071
225,4.41,4.57,5.08,22073
226,4.34,4.56,5.04,22079
227,4.34,4.62,5.1,22097
228,4.38,4.64,5.12,22103
229,4.4,4.64,5.13,22105
230,3.92,3.71,4.45,23001
231,3.95,3.48,4.25,23003
232,4.09,3.78,4.56,23005
233,3.92,3.7,4.45,23011
234,4.01,3.62,4.41,23019
235,4.07,3.81,4.59,23031
236,3.68,3.9,4.52,24001
237,4.13,4.15,4.84,24003
238,4.0,4.07,4.76,24005
239,4.08,4.1,4.81,24510
240,4.26,4.21,4.91,24009
241,4.0,4.06,4.73,24013
242,4.05,4.09,4.78,24015
243,4.28,4.23,4.93,24017
244,3.97,4.06,4.73,24021
245,4.08,4.09,4.78,24025
246,4.13,4.12,4.82,24027
247,4.28,4.15,4.87,24031
248,4.18,4.15,4.87,24033
249,4.32,4.26,4.96,24037
250,4.32,4.26,4.96,24037
251,3.85,4.01,4.65,24043
252,4.25,4.21,4.92,24045
253,3.66,3.84,4.48,25001
254,3.62,3.71,4.34,25003
255,3.82,3.87,4.59,25005
256,3.8,3.82,4.52,25009
257,3.57,3.74,4.38,25011
258,3.69,3.8,4.5,25013
259,3.72,3.8,4.49,25015
260,3.78,3.81,4.53,25017
261,3.82,3.84,4.57,25021
262,3.85,3.87,4.59,25023
263,3.79,3.84,4.57,25025
264,3.8,3.82,4.53,25027
265,3.51,3.79,4.22,26005
266,3.64,3.77,4.31,26017
267,3.5,3.81,4.31,26021
268,3.55,3.8,4.32,26025
269,3.59,3.78,4.31,26037
270,3.61,3.78,4.35,26049
271,3.79,3.71,4.31,26055
272,3.58,3.78,4.31,26065
273,3.6,3.75,4.28,26073
274,3.6,3.81,4.37,26075
275,3.59,3.8,4.35,26077
276,3.66,3.78,4.35,26081
277,3.56,3.77,4.32,26087
278,3.59,3.85,4.38,26091
279,3.63,3.81,4.38,26093
280,3.56,3.81,4.38,26099
281,3.82,3.59,4.21,26103
282,3.6,3.86,4.4,26115
283,3.56,3.77,4.23,26121
284,3.6,3.81,4.38,26125
285,3.55,3.78,4.22,26139
286,3.62,3.78,4.33,26145
287,3.66,3.81,4.36,26155
288,3.51,3.77,4.3,26147
289,3.44,3.76,4.2,26159
290,3.61,3.83,4.38,26161
291,3.62,3.85,4.42,26163
292,4.12,3.8,4.55,27003
293,4.11,3.86,4.54,27013
294,4.14,3.84,4.51,27019
295,3.95,3.77,4.41,27037
296,4.15,3.82,4.57,27053
297,3.93,3.78,4.46,27109
298,4.11,3.8,4.55,27123
299,4.05,3.82,4.5,27131
300,4.0,3.78,4.46,27139
301,4.16,3.8,4.56,27141
302,4.02,3.61,4.41,27137
303,4.02,3.61,4.41,27137
304,4.15,3.8,4.48,27145
305,4.05,3.79,4.51,27163
306,4.15,3.82,4.51,27171
307,4.43,4.64,5.15,28035
308,4.51,4.73,5.24,28047
309,4.48,4.61,5.15,28075
310,4.35,4.48,5.04,28081
311,4.41,4.58,5.11,28089
312,4.41,4.58,5.1,28121
313,4.47,4.23,4.91,29019
314,4.54,4.22,4.94,29021
315,4.57,4.23,4.95,29047
316,4.48,4.25,4.92,29051
317,4.42,4.23,4.89,29071
318,4.57,4.24,4.96,29095
319,4.44,4.25,4.91,29099
320,4.4,4.23,4.89,29183
321,4.39,4.22,4.88,29189
322,4.31,4.2,4.86,29510
323,4.89,3.93,4.8,30013
324,4.6,3.9,4.66,30031
325,5.08,4.01,4.92,30049
326,4.66,3.79,4.49,30063
327,5.12,4.11,5.0,30111
328,4.5,4.16,4.92,31055
329,4.69,4.27,5.05,31109
330,7.36,5.62,6.62,32003
331,6.73,5.01,5.92,32031
332,3.65,3.72,4.38,33005
333,3.69,3.6,4.27,33009
334,3.98,3.81,4.56,33011
335,3.94,3.78,4.51,33013
336,4.02,3.84,4.61,33015
337,4.08,3.82,4.6,33017
338,4.14,4.1,4.82,34001
339,3.83,3.92,4.62,34003
340,4.0,4.03,4.75,34005
341,4.04,4.05,4.76,34007
342,4.31,4.23,4.95,34009
343,4.2,4.16,4.88,34011
344,3.91,3.96,4.68,34013
345,4.09,4.08,4.79,34015
346,3.79,3.93,4.62,34017
347,3.86,3.96,4.63,34019
348,3.89,3.99,4.67,34021
349,3.89,3.98,4.67,34023
350,3.92,4.0,4.69,34025
351,3.87,3.93,4.63,34027
352,4.08,4.05,4.78,34029
353,3.88,3.92,4.63,34031
354,4.16,4.12,4.83,34033
355,3.86,3.96,4.65,34035
356,3.72,3.88,4.53,34037
357,3.88,3.95,4.66,34039
358,3.75,3.9,4.56,34041
359,7.45,5.58,6.57,35001
360,6.87,5.58,6.43,35005
361,6.83,5.57,6.39,35025
362,7.25,5.27,6.2,35031
363,7.42,5.68,6.57,35035
364,7.64,5.51,6.52,35045
365,7.49,5.48,6.48,35043
366,7.55,5.49,6.49,35049
367,7.75,5.66,6.67,35061
368,3.98,3.8,4.49,36001
369,3.82,3.94,4.64,36005
370,3.57,3.7,4.29,36007
371,3.46,3.66,4.18,36009
372,3.7,3.73,4.27,36011
373,3.25,3.6,3.98,36013
374,3.63,3.74,4.33,36015
375,4.02,3.62,4.32,36019
376,3.79,3.86,4.54,36027
377,3.42,3.64,4.09,36029
378,3.7,3.7,4.21,36045
379,3.91,4.0,4.71,36047
380,3.59,3.68,4.21,36051
381,3.52,3.65,4.15,36053
382,3.74,3.77,4.24,36055
383,3.86,3.97,4.65,36059
384,3.79,3.93,4.61,36061
385,3.67,3.77,4.25,36063
386,3.67,3.67,4.21,36065
387,3.63,3.69,4.24,36067
388,3.79,3.76,4.34,36069
389,3.79,3.9,4.56,36071
390,3.84,3.75,4.29,36075
391,3.85,3.89,4.58,36079
392,3.73,3.94,4.6,36081
393,3.8,3.75,4.36,36083
394,3.89,3.99,4.69,36085
395,3.88,3.92,4.62,36087
396,3.96,3.79,4.47,36091
397,3.97,3.82,4.48,36093
398,3.88,3.61,4.25,36089
399,3.88,3.61,4.25,36089
400,3.58,3.72,4.28,36101
401,3.85,3.98,4.65,36103
402,3.65,3.79,4.42,36105
403,3.61,3.69,4.25,36109
404,3.72,3.79,4.47,36111
405,3.96,3.74,4.46,36113
406,3.71,3.76,4.22,36117
407,3.92,3.94,4.65,36119
408,4.59,4.57,5.21,37019
409,4.31,4.43,5.09,37021
410,4.55,4.44,5.12,37037
411,4.62,4.52,5.2,37045
412,4.59,4.48,5.16,37057
413,4.49,4.41,5.1,37063
414,4.5,4.42,5.11,37067
415,4.48,4.41,5.09,37081
416,4.52,4.46,5.15,37089
417,4.62,4.51,5.19,37109
418,4.62,4.52,5.19,37119
419,4.51,4.44,5.12,37127
420,4.66,4.61,5.25,37129
421,4.52,4.41,5.1,37135
422,4.57,4.46,5.14,37151
423,4.61,4.55,5.21,37155
424,4.46,4.38,5.07,37157
425,4.61,4.49,5.17,37159
